distance,consume,speed,temp_inside,temp_outside,temp_diff,AC,rain,sun,snow,gas_type,litter_per_km,time_spent
28.0,5.0,26,21.5,12,-9.5,0,0,0,0,E10,0.17857142857142858,1.0769230769230769
12.0,4.2,30,21.5,13,-8.5,0,0,0,0,E10,0.35000000000000003,0.4
11.2,5.5,38,21.5,15,-6.5,0,0,0,0,E10,0.4910714285714286,0.29473684210526313
12.9,3.9,36,21.5,14,-7.5,0,0,0,0,E10,0.3023255813953488,0.35833333333333334
18.5,4.5,46,21.5,15,-6.5,0,0,0,0,E10,0.24324324324324326,0.40217391304347827
8.3,6.4,50,21.5,10,-11.5,0,0,0,0,E10,0.7710843373493975,0.166
7.8,4.4,43,21.5,11,-10.5,0,0,0,0,E10,0.5641025641025642,0.18139534883720929
12.3,5.0,40,21.5,6,-15.5,0,0,0,0,E10,0.4065040650406504,0.3075
4.9,6.4,26,21.5,4,-17.5,0,0,0,0,E10,1.3061224489795917,0.18846153846153849
11.9,5.3,30,21.5,9,-12.5,0,0,0,0,E10,0.4453781512605042,0.39666666666666667
12.4,5.6,42,21.5,4,-17.5,0,0,0,0,E10,0.4516129032258064,0.29523809523809524
11.8,4.6,38,21.5,0,-21.5,0,0,0,0,E10,0.38983050847457623,0.3105263157894737
12.3,5.9,59,21.5,10,-11.5,0,0,0,0,E10,0.4796747967479675,0.20847457627118646
24.7,5.1,58,21.5,12,-9.5,0,0,0,0,E10,0.20647773279352225,0.4258620689655172
12.4,4.7,46,21.5,11,-10.5,0,0,0,0,E10,0.3790322580645161,0.26956521739130435
17.3,5.1,24,21.5,5,-16.5,0,0,0,0,E10,0.29479768786127164,0.7208333333333333
33.4,5.6,36,21.5,3,-18.5,0,0,0,0,E10,0.16766467065868262,0.9277777777777777
11.8,5.1,32,21.5,3,-18.5,0,0,0,0,E10,0.43220338983050843,0.36875
25.9,4.9,39,21.5,8,-13.5,0,0,0,0,E10,0.1891891891891892,0.6641025641025641
11.8,4.7,40,21.5,4,-17.5,0,0,0,0,E10,0.3983050847457627,0.29500000000000004
25.3,5.5,32,21.5,3,-18.5,0,0,0,0,E10,0.21739130434782608,0.790625
14.2,5.9,38,21.5,1,-20.5,0,0,0,0,E10,0.41549295774647893,0.3736842105263158
17.9,5.7,37,21.5,1,-20.5,0,0,0,0,E10,0.3184357541899442,0.4837837837837837
11.8,4.7,36,21.5,1,-20.5,0,0,0,0,E10,0.3983050847457627,0.3277777777777778
12.3,5.9,62,21.5,6,-15.5,0,0,0,0,E10,0.4796747967479675,0.19838709677419356
12.4,4.1,57,21.5,9,-12.5,0,0,0,0,E10,0.33064516129032256,0.21754385964912282
18.4,5.7,21,22.5,2,-20.5,0,0,0,0,E10,0.3097826086956522,0.8761904761904761
18.4,5.8,28,21.5,3,-18.5,0,0,0,0,E10,0.31521739130434784,0.6571428571428571
18.3,5.5,29,21.5,1,-20.5,0,0,0,0,E10,0.3005464480874317,0.6310344827586207
18.4,5.7,35,21.5,4,-17.5,0,0,0,0,E10,0.3097826086956522,0.5257142857142857
12.3,5.3,51,21.5,11,-10.5,0,0,0,0,E10,0.4308943089430894,0.2411764705882353
11.8,5.0,29,21.5,10,-11.5,0,0,0,0,E10,0.423728813559322,0.40689655172413797
12.3,5.6,58,21.5,8,-13.5,0,0,0,0,E10,0.4552845528455284,0.2120689655172414
32.6,4.8,40,21.5,7,-14.5,0,0,0,0,E10,0.14723926380368096,0.8150000000000001
19.0,4.3,36,21.5,7,-14.5,0,0,0,0,E10,0.2263157894736842,0.5277777777777778
12.1,5.7,36,21.5,8,-13.5,0,0,0,0,E10,0.4710743801652893,0.3361111111111111
20.0,5.2,37,21.5,4,-17.5,0,0,0,0,E10,0.26,0.5405405405405406
4.9,7.4,26,21.5,6,-15.5,0,0,0,0,E10,1.510204081632653,0.18846153846153849
11.8,4.8,23,21.5,9,-12.5,0,0,0,0,E10,0.4067796610169491,0.5130434782608696
12.3,6.5,58,21.5,7,-14.5,0,0,0,0,E10,0.5284552845528455,0.2120689655172414
12.4,4.0,55,21.5,7,-14.5,1,1,0,0,E10,0.3225806451612903,0.22545454545454546
4.5,5.0,29,21.5,7,-14.5,1,0,0,0,E10,1.1111111111111112,0.15517241379310345
11.7,4.6,37,21.5,6,-15.5,0,0,0,0,E10,0.39316239316239315,0.3162162162162162
10.2,4.3,44,21.5,7,-14.5,0,0,0,0,E10,0.4215686274509804,0.2318181818181818
5.4,3.3,32,21.5,7,-14.5,0,0,0,0,SP98,0.611111111111111,0.16875
2.0,9.9,21,21.5,4,-17.5,0,0,0,0,SP98,4.95,0.09523809523809523
14.2,5.1,32,21.5,7,-14.5,0,0,0,0,SP98,0.35915492957746475,0.44375
16.0,4.9,25,21.5,8,-13.5,0,0,0,0,SP98,0.30625,0.64
11.8,4.9,25,21.5,11,-10.5,0,0,0,0,SP98,0.4152542372881356,0.47200000000000003
27.3,4.7,36,21.5,10,-11.5,0,0,0,0,SP98,0.17216117216117216,0.7583333333333333
11.8,5.1,29,21.5,5,-16.5,0,1,0,0,SP98,0.43220338983050843,0.40689655172413797
10.6,4.9,63,21.5,6,-15.5,0,0,0,0,SP98,0.4622641509433963,0.16825396825396824
11.6,4.2,61,21.5,7,-14.5,0,0,0,0,SP98,0.3620689655172414,0.1901639344262295
13.1,6.1,46,21.5,6,-15.5,0,1,0,0,SP98,0.46564885496183206,0.28478260869565214
6.1,6.4,28,21.5,8,-13.5,0,0,0,0,SP98,1.0491803278688525,0.21785714285714283
153.5,4.9,82,21.5,3,-18.5,0,1,0,0,SP98,0.03192182410423453,1.8719512195121952
11.8,4.9,24,21.5,7,-14.5,0,0,0,0,SP98,0.4152542372881356,0.4916666666666667
12.3,6.2,61,21.5,8,-13.5,0,0,0,0,SP98,0.5040650406504065,0.2016393442622951
12.4,4.2,57,21.5,8,-13.5,0,0,0,0,SP98,0.33870967741935487,0.21754385964912282
12.3,5.7,52,21.5,8,-13.5,0,1,0,0,SP98,0.46341463414634143,0.23653846153846156
2.9,7.9,18,21.5,9,-12.5,1,1,0,0,SP98,2.724137931034483,0.1611111111111111
2.1,12.2,23,21.5,9,-12.5,1,1,0,0,SP98,5.809523809523809,0.09130434782608696
9.8,5.8,24,21.5,6,-15.5,0,0,0,0,SP98,0.5918367346938775,0.4083333333333334
6.8,5.3,26,21.5,6,-15.5,0,0,0,0,SP98,0.7794117647058824,0.26153846153846155
12.4,5.4,24,21.5,7,-14.5,0,0,0,0,SP98,0.43548387096774194,0.5166666666666667
12.4,4.7,57,21.5,8,-13.5,0,0,0,0,SP98,0.3790322580645161,0.21754385964912282
11.8,4.6,41,21.5,6,-15.5,0,0,0,0,SP98,0.38983050847457623,0.2878048780487805
12.3,5.4,55,21.5,8,-13.5,0,0,0,0,SP98,0.43902439024390244,0.22363636363636366
14.0,4.3,40,21.5,8,-13.5,0,0,0,0,SP98,0.3071428571428571,0.35
11.8,4.5,37,21.5,4,-17.5,1,0,0,0,SP98,0.3813559322033898,0.31891891891891894
12.3,5.2,55,21.5,12,-9.5,0,0,0,0,SP98,0.4227642276422764,0.22363636363636366
2.0,6.2,20,21.5,10,-11.5,0,0,0,0,SP98,3.1,0.1
13.9,5.1,29,21.5,6,-15.5,0,0,0,0,SP98,0.3669064748201438,0.4793103448275862
9.7,3.9,42,21.5,8,-13.5,0,0,0,0,SP98,0.4020618556701031,0.23095238095238094
11.6,5.0,25,21.5,6,-15.5,0,0,0,0,SP98,0.4310344827586207,0.46399999999999997
14.2,5.4,38,21.5,7,-14.5,0,0,0,0,SP98,0.3802816901408451,0.3736842105263158
11.8,4.5,39,21.5,6,-15.5,0,0,0,0,SP98,0.3813559322033898,0.3025641025641026
24.8,5.1,50,21.5,9,-12.5,0,0,0,0,SP98,0.20564516129032256,0.496
12.4,4.7,56,21.5,7,-14.5,0,0,0,0,SP98,0.3790322580645161,0.22142857142857145
34.8,4.0,28,20.0,4,-16.0,0,0,0,0,SP98,0.1149425287356322,1.2428571428571427
14.2,5.4,36,20.0,6,-14.0,0,0,0,0,SP98,0.3802816901408451,0.39444444444444443
5.2,4.5,39,20.0,10,-10.0,0,0,0,0,SP98,0.8653846153846153,0.13333333333333333
10.5,3.6,42,20.0,10,-10.0,0,0,0,0,SP98,0.34285714285714286,0.25
12.3,5.2,57,20.0,10,-10.0,0,0,0,0,SP98,0.4227642276422764,0.21578947368421053
11.8,4.9,25,20.0,11,-9.0,0,0,0,0,SP98,0.4152542372881356,0.47200000000000003
12.3,6.2,58,20.0,11,-9.0,0,1,0,0,SP98,0.5040650406504065,0.2120689655172414
13.2,4.3,51,20.0,11,-9.0,0,1,0,0,SP98,0.32575757575757575,0.2588235294117647
13.0,5.0,45,20.0,11,-9.0,0,1,0,0,SP98,0.38461538461538464,0.28888888888888886
12.9,5.1,32,20.0,11,-9.0,0,0,0,0,SP98,0.3953488372093023,0.403125
13.9,5.6,22,20.0,8,-12.0,0,0,0,0,SP98,0.40287769784172656,0.6318181818181818
11.8,4.3,37,20.0,6,-14.0,0,0,0,0,SP98,0.3644067796610169,0.31891891891891894
12.2,5.8,60,20.0,11,-9.0,0,0,0,0,SP98,0.4754098360655738,0.2033333333333333
12.5,4.0,51,20.0,13,-7.0,0,0,0,0,SP98,0.32,0.24509803921568626
12.4,4.7,43,21.5,10,-11.5,0,0,0,0,SP98,0.3790322580645161,0.28837209302325584
11.8,5.9,21,20.0,9,-11.0,1,1,0,0,SP98,0.5,0.5619047619047619
11.8,5.3,52,21.5,11,-10.5,0,0,0,0,SP98,0.4491525423728813,0.22692307692307695
12.5,4.2,57,20.0,11,-9.0,0,0,0,0,SP98,0.336,0.21929824561403508
15.7,5.3,33,21.5,9,-12.5,0,0,0,0,SP98,0.3375796178343949,0.4757575757575757
12.9,5.7,35,21.5,9,-12.5,0,0,0,0,SP98,0.4418604651162791,0.3685714285714286
6.4,4.4,37,21.5,10,-11.5,0,0,0,0,SP98,0.6875,0.17297297297297298
5.3,4.1,34,21.5,9,-12.5,0,0,0,0,SP98,0.7735849056603773,0.15588235294117647
26.2,5.8,71,21.0,8,-13.0,1,1,0,0,SP98,0.22137404580152673,0.36901408450704226
18.8,5.0,62,21.5,9,-12.5,0,1,0,0,SP98,0.26595744680851063,0.3032258064516129
4.9,6.9,25,21.0,12,-9.0,0,1,0,0,SP98,1.4081632653061225,0.196
12.4,5.4,18,21.0,11,-10.0,1,1,0,0,SP98,0.43548387096774194,0.6888888888888889
22.9,5.3,45,20.5,7,-13.5,0,0,0,0,SP98,0.2314410480349345,0.5088888888888888
162.7,5.5,75,23.0,1,-22.0,0,0,0,0,SP98,0.03380454824830977,2.1693333333333333
4.9,6.5,26,21.0,1,-20.0,0,0,0,0,SP98,1.3265306122448979,0.18846153846153849
11.8,4.7,36,21.0,4,-17.0,0,0,0,0,SP98,0.3983050847457627,0.3277777777777778
16.6,5.1,56,21.0,7,-14.0,0,0,0,0,SP98,0.30722891566265054,0.29642857142857143
12.4,5.7,37,21.0,7,-14.0,0,0,0,0,SP98,0.4596774193548387,0.33513513513513515
15.9,5.4,25,21.0,7,-14.0,0,0,0,0,SP98,0.339622641509434,0.636
5.1,8.7,21,23.5,5,-18.5,0,0,0,0,SP98,1.7058823529411764,0.24285714285714283
22.4,4.9,66,20.5,7,-13.5,0,0,0,0,SP98,0.21875000000000003,0.33939393939393936
31.1,4.7,42,20.5,7,-13.5,0,0,0,0,SP98,0.15112540192926044,0.7404761904761905
4.9,6.3,27,20.5,3,-17.5,0,0,0,0,SP98,1.2857142857142856,0.1814814814814815
11.8,5.1,26,23.0,4,-19.0,0,1,0,0,SP98,0.43220338983050843,0.4538461538461539
22.9,6.0,42,23.0,4,-19.0,0,1,0,0,SP98,0.26200873362445415,0.5452380952380952
12.4,4.6,38,23.0,1,-22.0,0,1,0,1,SP98,0.3709677419354838,0.3263157894736842
12.9,5.8,40,23.0,4,-19.0,0,0,0,0,SP98,0.44961240310077516,0.3225
11.8,5.1,43,23.0,0,-23.0,0,0,0,0,SP98,0.43220338983050843,0.2744186046511628
12.2,5.8,58,23.0,2,-21.0,0,0,0,0,SP98,0.4754098360655738,0.21034482758620687
24.8,4.6,55,23.0,3,-20.0,0,0,0,0,SP98,0.1854838709677419,0.4509090909090909
14.2,5.6,24,23.0,8,-15.0,0,0,0,0,SP98,0.39436619718309857,0.5916666666666667
11.8,4.6,38,23.0,0,-23.0,0,1,0,1,SP98,0.38983050847457623,0.3105263157894737
12.2,6.3,57,23.0,0,-23.0,0,1,0,1,SP98,0.5163934426229508,0.21403508771929824
24.7,5.5,56,25.0,1,-24.0,0,0,0,0,SP98,0.22267206477732795,0.44107142857142856
6.8,4.3,46,24.0,2,-22.0,0,0,0,0,SP98,0.6323529411764706,0.14782608695652175
17.3,5.6,37,21.5,1,-20.5,0,0,0,0,SP98,0.32369942196531787,0.46756756756756757
11.8,4.3,44,21.5,-3,-24.5,0,0,0,0,SP98,0.3644067796610169,0.2681818181818182
15.9,5.7,46,21.5,5,-16.5,0,0,0,0,SP98,0.3584905660377358,0.3456521739130435
5.1,6.4,39,21.5,4,-17.5,0,0,0,0,SP98,1.254901960784314,0.13076923076923075
16.1,4.5,33,21.5,6,-15.5,0,0,0,0,SP98,0.2795031055900621,0.4878787878787879
11.8,4.5,43,21.5,3,-18.5,0,0,0,0,SP98,0.3813559322033898,0.2744186046511628
4.2,6.0,26,21.5,5,-16.5,0,0,0,0,SP98,1.4285714285714286,0.16153846153846155
17.4,5.1,30,21.5,5,-16.5,0,0,0,0,SP98,0.2931034482758621,0.58
23.5,6.0,25,21.5,5,-16.5,0,1,0,0,SP98,0.2553191489361702,0.94
11.8,4.5,38,21.5,5,-16.5,0,1,0,0,SP98,0.3813559322033898,0.3105263157894737
12.3,6.1,61,21.5,10,-11.5,0,1,0,0,SP98,0.4959349593495934,0.2016393442622951
16.1,5.4,24,21.5,7,-14.5,0,1,0,0,E10,0.3354037267080745,0.6708333333333334
11.8,4.3,40,21.5,10,-11.5,0,1,0,0,E10,0.3644067796610169,0.29500000000000004
12.3,5.4,58,21.5,13,-8.5,0,0,0,0,E10,0.43902439024390244,0.2120689655172414
12.4,4.3,49,21.5,17,-4.5,0,0,0,0,E10,0.34677419354838707,0.2530612244897959
7.0,5.2,25,21.5,17,-4.5,0,0,0,0,E10,0.7428571428571429,0.28
11.8,4.1,37,21.5,10,-11.5,0,0,0,0,E10,0.34745762711864403,0.31891891891891894
20.1,4.4,41,21.5,18,-3.5,0,0,0,0,E10,0.21890547263681592,0.49024390243902444
20.8,4.5,45,21.5,10,-11.5,0,0,0,0,E10,0.21634615384615383,0.46222222222222226
1.7,10.8,14,21.5,10,-11.5,0,1,0,0,E10,6.352941176470589,0.12142857142857143
35.9,4.7,45,21.5,12,-9.5,0,0,0,0,E10,0.13091922005571033,0.7977777777777777
36.9,4.8,52,21.5,5,-16.5,0,0,0,0,E10,0.13008130081300814,0.7096153846153845
16.8,4.0,46,21.5,8,-13.5,0,0,0,0,E10,0.23809523809523808,0.3652173913043478
9.9,5.0,28,21.5,9,-12.5,0,0,0,0,E10,0.5050505050505051,0.3535714285714286
22.9,4.6,61,21.5,7,-14.5,0,1,0,0,E10,0.20087336244541484,0.37540983606557377
17.3,5.0,61,21.5,6,-15.5,1,1,0,0,E10,0.2890173410404624,0.2836065573770492
11.8,4.3,37,21.5,7,-14.5,0,0,0,0,E10,0.3644067796610169,0.31891891891891894
36.6,5.2,80,21.5,7,-14.5,0,1,0,0,E10,0.14207650273224043,0.4575
44.9,4.7,62,21.5,8,-13.5,0,0,0,0,E10,0.1046770601336303,0.7241935483870967
11.8,4.2,34,21.5,9,-12.5,0,1,0,0,E10,0.3559322033898305,0.3470588235294118
21.6,5.3,44,21.5,9,-12.5,0,1,0,0,E10,0.24537037037037035,0.49090909090909096
39.4,5.3,60,21.5,9,-12.5,0,1,0,0,E10,0.13451776649746192,0.6566666666666666
5.1,8.1,39,21.5,4,-17.5,0,0,0,0,E10,1.5882352941176472,0.13076923076923075
26.6,4.8,38,21.5,7,-14.5,0,0,0,0,E10,0.18045112781954886,0.7000000000000001
53.2,5.1,71,21.5,2,-19.5,0,0,0,0,E10,0.09586466165413533,0.7492957746478873
18.9,4.4,53,21.5,2,-19.5,0,0,0,0,E10,0.23280423280423285,0.35660377358490564
43.5,5.0,80,21.5,3,-18.5,0,0,0,0,E10,0.11494252873563218,0.54375
6.1,6.3,26,21.5,5,-16.5,0,0,0,0,E10,1.0327868852459017,0.23461538461538461
16.4,4.8,49,21.5,5,-16.5,0,0,0,0,E10,0.29268292682926833,0.33469387755102037
12.3,6.1,40,21.5,6,-15.5,0,0,0,0,E10,0.4959349593495934,0.3075
21.1,4.6,36,21.5,8,-13.5,0,0,0,0,E10,0.21800947867298576,0.5861111111111111
21.1,4.8,43,21.5,7,-14.5,0,0,0,0,E10,0.22748815165876776,0.4906976744186047
22.7,4.7,55,21.5,6,-15.5,0,0,0,0,E10,0.20704845814977976,0.4127272727272727
44.4,4.8,38,21.5,8,-13.5,0,0,0,0,E10,0.10810810810810811,1.1684210526315788
35.8,4.4,51,21.5,6,-15.5,0,0,0,0,E10,0.12290502793296092,0.7019607843137254
11.8,4.9,44,21.5,0,-21.5,0,0,0,0,E10,0.4152542372881356,0.2681818181818182
26.2,4.9,42,21.5,6,-15.5,0,0,0,0,E10,0.18702290076335878,0.6238095238095238
40.6,4.4,44,21.0,3,-18.0,0,0,0,0,E10,0.10837438423645321,0.9227272727272727
12.4,5.3,38,21.0,-5,-26.0,0,0,0,0,E10,0.42741935483870963,0.3263157894736842
14.1,5.3,47,21.0,-3,-24.0,0,0,0,0,E10,0.375886524822695,0.3
58.7,4.8,75,21.0,0,-21.0,0,0,0,0,E10,0.0817717206132879,0.7826666666666667
16.2,5.2,29,21.0,0,-21.0,0,0,0,0,E10,0.3209876543209877,0.5586206896551724
12.3,4.9,50,22.5,0,-22.5,0,0,0,0,E10,0.3983739837398374,0.24600000000000002
12.3,7.1,52,22.5,0,-22.5,1,1,0,1,E10,0.5772357723577235,0.23653846153846156
12.4,5.2,51,22.5,1,-21.5,0,0,0,0,E10,0.41935483870967744,0.24313725490196078
31.8,4.7,59,22.5,3,-19.5,0,0,0,0,E10,0.14779874213836477,0.5389830508474577
12.3,5.1,55,22.5,8,-14.5,0,0,0,0,E10,0.41463414634146334,0.22363636363636366
51.6,5.0,73,22.5,12,-10.5,0,0,0,0,E10,0.09689922480620154,0.7068493150684931
38.6,4.6,44,22.5,10,-12.5,0,0,0,0,E10,0.11917098445595854,0.8772727272727273
12.3,4.8,41,22.5,7,-15.5,0,0,0,0,E10,0.39024390243902435,0.30000000000000004
81.2,4.4,69,22.0,13,-9.0,0,0,0,0,E10,0.054187192118226604,1.1768115942028985
130.3,4.6,85,22.0,12,-10.0,0,0,0,0,E10,0.03530314658480429,1.5329411764705885
